lbi_index,lbi,silhouette_mean,silhouette_sd,silhouette_sem,reliability_mean,reliability_sd,reliability_sem,n_networks
0,1.0445,-0.0718940995571514,0.0172199256327259,0.0038504924282266,0.0016914370584723,0.0008401057150635,0.0001878533487168,20
1,1.049,-0.0481460920154738,0.0265996533879371,0.005947863315336,0.0082648671052708,0.0109110590340577,0.0024397869706666,20
2,1.0535,-0.0217009987385972,0.0500258173851593,0.0111861128303207,0.0243830100615931,0.0247264138387326,0.0055289942183197,20
3,1.058,0.0249980861800334,0.065414497157252,0.0146271262357582,0.0522409455169516,0.0331748371900399,0.0074181191099417,20
4,1.0625,0.1227813589334255,0.1064627211777975,0.0238057881623161,0.0990646856036852,0.0393119644059652,0.008790422474079,20
5,1.067,0.223587328773962,0.1186248909356895,0.02652533199557,0.1389835986968869,0.0411064920870955,0.0091916910623302,20
6,1.0715,0.3301738510032495,0.1135435985498757,0.0253891204767468,0.1709900648698083,0.0318025211274202,0.0071112599096784,20
7,1.0759999999999998,0.4080158326526483,0.0836585714774914,0.0187066252724195,0.1902063016944445,0.0187316388386906,0.0041885217773287,20
8,1.0805,0.4675529791911443,0.0627746301246185,0.0140368340221053,0.1951729253390687,0.0155037853840505,0.0034667518027304,20
9,1.085,0.4824725430210431,0.0405780580554563,0.0090735296206933,0.1934876223346788,0.0127964334992967,0.0028613695173982,20
10,1.0895,0.4914644871155421,0.027038183042925,0.0060459215272062,0.1841456484421005,0.0131097130691536,0.0029314209588145,20
11,1.094,0.4720722871025403,0.035914430998346,0.0080307109085527,0.1711908955897851,0.0126297675941467,0.0028241018880536,20
12,1.0985,0.4641549323995907,0.0301993323793625,0.0067527760075365,0.1583661982698064,0.0123950791084416,0.0027716239472963,20
13,1.103,0.4583566246430079,0.0290576471876106,0.0064974874377703,0.1480468877280103,0.0117927069882792,0.0026369294464529,20
14,1.1075,0.4411913805206617,0.0209578733904698,0.0046863229564924,0.1359797993382446,0.0104107787389362,0.0023279208958971,20
15,1.112,0.4243629975120226,0.0244768028445551,0.0054731795032285,0.1251807649988027,0.0093105102825694,0.0020818933897036,20
16,1.1164999999999998,0.4021511748433113,0.0223055617789867,0.0049876752414135,0.1156372404511956,0.008109619497074,0.0018133660467115,20
17,1.121,0.3628846170504888,0.0359954740858731,0.0080488326938344,0.1066083695737012,0.0093226815270542,0.0020846149627074,20
18,1.1255,0.3480457241336504,0.0403688858562023,0.0090267572950398,0.1008452140711103,0.008511641602006,0.00190326092222,20
19,1.13,0.3207007156312466,0.0434686504272199,0.0097198857245439,0.0934722710135529,0.0078912067539167,0.0017645274726263,20
