dataset_kind,N_total,scan_param,scan_idx,scan_value,GBE,LBI,LE,coupled_region,tau_idx,tau_i_decay_ms,le_idx,n_trials,fig2_ks_pvalue_min_mean,fig2_ks_pvalue_min_sem,fig2_ks_pvalue_size_mean,fig2_ks_pvalue_size_sem,fig2_ks_pvalue_duration_mean,fig2_ks_pvalue_duration_sem,fig2_dcc_mean,fig2_dcc_sem,fig2_size_fit_xmin_mean,fig2_size_fit_xmin_sem,fig2_duration_fit_xmin_mean,fig2_duration_fit_xmin_sem,fig2_size_xmax_mean,fig2_size_xmax_sem,fig2_duration_xmax_mean,fig2_duration_xmax_sem,fig2_size_alpha_mean,fig2_size_alpha_sem,fig2_duration_alpha_mean,fig2_duration_alpha_sem,fig2_gamma_hat_mean,fig2_gamma_hat_sem,fig2_gamma_pred_from_scaling_relation_mean,fig2_gamma_pred_from_scaling_relation_sem
local,2000,tau_i_decay_ms,18,8.5,,,,,18,8.5,-1,20,0.6147222122319194,0.041377186223383496,0.7610907970229032,0.03830761794220543,0.6508488481794679,0.04357254503318652,0.023500993563731743,0.004248944331989029,10.15,0.5490422282676011,6.4,0.255466549463402,226.2,6.050054371221537,62.35,1.4110000186504532,2.3387603392976484,0.02152255519383235,2.6732154034933933,0.027860539499669087,1.2465953542244321,0.002480070807961221,1.249967257715498,0.00658529455422749
local,2000,tau_i_decay_ms,4,5.0,,,,,4,5.0,-1,20,0.13669550610110148,0.03749034856584541,0.3124496273038245,0.04335120444727702,0.20207937783826577,0.05043122348720168,0.06601678966671327,0.012903627924654734,13.7,0.5083513082815653,7.9,0.2395170579575317,134.35,3.247083711821878,49.85,1.1127845585216443,3.0185138843465724,0.02241335701560766,3.4424375437339436,0.02962035804675352,1.1710702360710215,0.002185402182309479,1.2121477709425084,0.017821483929607595
local,2000,tau_i_decay_ms,34,12.5,,,,,34,12.5,-1,20,0.03985956114824897,0.013241229324582916,0.06635754701956813,0.018863287838564828,0.05283490775524082,0.017687547427789184,0.17287737014179427,0.01853686628951252,3.55,0.223312384458703,2.4,0.1521771820505364,867.75,175.56340697429246,69.85,1.5428527916953403,1.87719107856334,0.016296867284902677,2.0450444991495367,0.023327701954043212,1.3632201592745985,0.011448078849535316,1.1903427891328042,0.009970920520019492
